,id,num,neg.score,neg.p.value,neg.fdr,neg.rank,neg.goodsgrna,neg.lfc,pos.score,pos.p.value,pos.fdr,pos.rank,pos.goodsgrna,pos.lfc
562,Rpgrip1l,4,4.4823e-05,0.00015691,0.005659,590,4,-1.4275,0.99996,0.99995,1,20686,0,-1.4275
563,Bbs7,4,4.4878e-05,0.00015738,0.005659,591,4,-1.475,0.99996,0.99995,1,20685,0,-1.475
564,Ndufc2,4,4.4988e-05,0.00015738,0.005659,592,4,-1.613,0.99996,0.99995,1,20684,0,-1.613
565,Ubr4,4,4.5237e-05,0.00015784,0.005659,593,4,-2.0951,0.99995,0.99995,1,20683,0,-2.0951
566,Rbbp6,4,4.5265e-05,0.00015784,0.005659,594,4,-2.7893,0.99995,0.99995,1,20682,0,-2.7893
567,Prpf40a,4,4.5515e-05,0.00015784,0.005659,596,4,-1.2718,0.99995,0.99995,1,20680,0,-1.2718
568,Ciao2b,4,4.5599e-05,0.00015831,0.005659,597,4,-1.7574,0.99995,0.99995,1,20679,0,-1.7574
569,Hnrnpu,4,4.5711e-05,0.00015831,0.005659,598,4,-2.0436,0.99995,0.99995,1,20678,0,-2.0436
570,Ftsj3,4,4.5935e-05,0.00015831,0.005659,599,4,-1.9621,0.99995,0.99995,1,20677,0,-1.9621
571,Pabpc1,4,4.6019e-05,0.00015878,0.005666,600,4,-1.8245,0.99995,0.99995,1,20676,0,-1.8245
572,Eif3c,4,4.63e-05,0.00015924,0.005673,601,4,-1.5329,0.99995,0.99995,1,20675,0,-1.5329
573,Snrpd3,4,4.6417e-05,0.00015971,0.00568,602,4,-2.9499,0.99982,0.99983,1,20312,0,-2.9499
574,Sart3,4,4.6839e-05,0.00016157,0.005737,603,4,-1.7439,0.99995,0.99995,1,20674,0,-1.7439
575,Anapc1,4,4.6982e-05,0.00016251,0.00576,604,4,-1.9598,0.99995,0.99995,1,20673,0,-1.9598
576,Gm10338,9,4.7204e-05,0.00033131,0.008996,606,6,-1.3724,0.99988,0.99988,1,20410,0,-1.3724
577,Zmat5,4,4.7296e-05,0.00016437,0.005782,607,4,-2.0303,0.99995,0.99995,1,20672,0,-2.0303
578,Grb2,4,4.7417e-05,0.00016484,0.005782,608,4,-2.8616,0.99983,0.99984,1,20328,0,-2.8616
579,Cycs,4,4.744e-05,0.00016484,0.005782,609,4,-1.9733,0.99995,0.99995,1,20671,0,-1.9733
580,Iba57,4,4.7468e-05,0.00016484,0.005782,610,4,-1.448,0.99995,0.99995,1,20670,0,-1.448
581,Tctn1,4,4.7555e-05,0.00016484,0.005782,611,4,-1.3058,0.99995,0.99995,1,20669,0,-1.3058
582,Lamtor4,4,4.7699e-05,0.0001653,0.005782,612,4,-1.0037,0.99995,0.99995,1,20668,0,-1.0037
