Gene Symbol	DMSO_A	DMSO_B	DMSO_C	AZA_2h_A	AZA_2h_B	AZA_2h_C	AZA_48h_C	AZA_48h_B	AZA_48h_C			
Gm38069	0	0	0	0	0	0	0	0	0			
Gm7560	0	0	0	0	0	0	0	0	0			
Gm8850	17	13	27	9	21	25	8	11	17			
Gm22633	0	0	0	0	0	0	0	0	0			
Mir6341	0	0	0	0	0	0	0	0	0			
Gm2383	0	2	0	0	0	0	0	0	1			
Gm6216	0	0	0	0	0	0	0	0	0			
Gm17644	0	0	0	0	0	0	0	0	0			
Gm29663	0	0	0	0	0	0	0	0	0			
BC034090	2400	2435	2140	2404	2294	2255	2011	2423	2790			
Gm37622	5	0	0	1	2	1	0	1	0			
Mff	5220	5242	4980	6235	5631	5297	4324	4535	5214			
Gm28941	8	18	16	12	10	21	8	18	18			
Tm4sf20	0	0	0	0	0	0	0	0	0			
Gm47791	0	0	0	0	0	0	0	0	0			
Gm19257	0	0	0	0	0	0	0	0	0			
Gm36999	0	0	0	0	0	0	0	0	0			
Gm28942	0	0	2	0	0	0	0	0	0			
Gm17764	0	0	0	0	1	0	0	0	0			
Xpr1	17649	17750	16320	14823	14261	14008	12536	13646	15608			
Gm5532	46	25	17	11	16	20	61	58	55			
Myo1b	3400	3247	2846	2831	2880	2658	2741	2919	3395			
Gm29453	0	0	2	0	0	0	2	0	0			
Gm28323	0	0	0	0	0	0	0	0	0			
Gm8419	0	0	0	2	2	0	0	1	1			
Gm8420	0	0	1	0	1	0	0	0	0			
Cdc42bpa	5419	5020	4431	4879	4660	4397	3421	3661	4654			
Acbd6	4265	4438	3821	4679	4285	4018	3025	3562	3530			
Gm38169	0	0	0	0	0	0	0	0	0			
